cohort,candidate,family,status,validation_ap,elapsed_seconds,best_epoch
43,residual_mlp_2,residual_mlp,COMPLETED,0.29136686513723276,1.9197630000016943,4.0
43,residual_mlp_3,residual_mlp,COMPLETED,0.2743464930766352,1.6271856999992451,0.0
43,residual_mlp_4,residual_mlp,COMPLETED,0.3217031813589111,2.631036699996912,12.0
43,residual_mlp_5,residual_mlp,COMPLETED,0.28330418319989153,1.777480700002343,2.0
43,tabicl_refine_20,tabicl,COMPLETED,0.29963105428050196,102.8998548999989,
43,tabicl_refine_45,tabicl,COMPLETED,0.33181307072423555,131.6771856000014,
43,lightgbm_unweighted_0,lightgbm,COMPLETED,0.3517190319638802,0.4530649000007543,
43,lightgbm_unweighted_1,lightgbm,COMPLETED,0.36328850454230005,0.2057664999992994,
43,lightgbm_unweighted_2,lightgbm,COMPLETED,0.3652655684957609,0.3320991000000504,
43,lightgbm_unweighted_3,lightgbm,COMPLETED,0.36033273737252575,0.19878190000235918,
43,logistic_unweighted_0,logistic_regression,COMPLETED,0.3323553775630996,0.15506029999960447,
43,logistic_unweighted_1,logistic_regression,COMPLETED,0.320782351795272,0.1807294999998703,
43,logistic_unweighted_2,logistic_regression,COMPLETED,0.3135526635769376,0.2281193999988318,
43,logistic_unweighted_3,logistic_regression,COMPLETED,0.3031320481103646,0.2304182000007131,
43,tabpfn_30,tabpfn,COMPLETED,0.29231320538241323,239.32637270000123,
43,tabpfn_full,tabpfn,COMPLETED,0.38683101382349067,487.24680490000173,
44,lightgbm_reference,lightgbm,COMPLETED,0.47942994057485966,0.3420992000028491,
44,logistic_reference,logistic_regression,COMPLETED,0.42362878056378955,0.20452010000008158,
44,lightgbm_tuned_0,lightgbm,COMPLETED,0.4305790967470895,0.15597599999819067,
44,lightgbm_tuned_1,lightgbm,COMPLETED,0.32686508399971165,0.13211389999923995,
44,lightgbm_tuned_2,lightgbm,COMPLETED,0.45603643487204876,0.1532641000012518,
44,lightgbm_tuned_3,lightgbm,COMPLETED,0.46975908258635474,0.2642257999978028,
44,lightgbm_tuned_4,lightgbm,COMPLETED,0.44805255100249214,0.17445419999785372,
44,lightgbm_tuned_5,lightgbm,COMPLETED,0.4735741825314972,0.32374519999939366,
44,logistic_tuned_0,logistic_regression,COMPLETED,0.4430437237026062,0.15053740000075777,
44,logistic_tuned_1,logistic_regression,COMPLETED,0.42828201055114806,0.16925029999765684,
44,logistic_tuned_2,logistic_regression,COMPLETED,0.42102678863103915,0.19469290000051842,
44,logistic_tuned_3,logistic_regression,COMPLETED,0.4203260961769192,0.24725369999941904,
44,tabm_00,tabm,COMPLETED,0.44995656270421197,8.750213200000871,7.0
44,tabm_01,tabm,COMPLETED,0.45672629288601124,5.369442100000015,3.0
44,tabm_02,tabm,COMPLETED,0.4286317365850122,11.87019700000019,27.0
44,tabm_03,tabm,COMPLETED,0.4265175582356798,9.102167699998972,17.0
44,tabm_04,tabm,COMPLETED,0.4381301193778146,14.95853409999836,45.0
44,tabm_05,tabm,COMPLETED,0.44698853396837596,13.551337200002308,37.0
44,tabm_06,tabm,COMPLETED,0.43040891065671844,20.81665150000117,64.0
