cohort,model,capacity,patients,positives,selected,captured,recall,precision,lift,ap
9104,original_logistic,0.05,589,70,30,16,0.22857142857142856,0.5333333333333333,4.487619047619048,0.38942927515782
9104,original_logistic,0.1,589,70,59,23,0.32857142857142857,0.3898305084745763,3.2801452784503633,0.38942927515782
9104,original_logistic,0.2,589,70,118,33,0.4714285714285714,0.2796610169491525,2.3531476997578693,0.38942927515782
9104,previous_neural,0.05,589,70,30,16,0.22857142857142856,0.5333333333333333,4.487619047619048,0.40744674010010506
9104,previous_neural,0.1,589,70,59,23,0.32857142857142857,0.3898305084745763,3.2801452784503633,0.40744674010010506
9104,previous_neural,0.2,589,70,118,39,0.5571428571428572,0.3305084745762712,2.780992736077482,0.40744674010010506
9104,tuned_classical,0.05,589,70,30,16,0.22857142857142856,0.5333333333333333,4.487619047619048,0.422225877872479
9104,tuned_classical,0.1,589,70,59,25,0.35714285714285715,0.423728813559322,3.5653753026634383,0.422225877872479
9104,tuned_classical,0.2,589,70,118,40,0.5714285714285714,0.3389830508474576,2.8523002421307506,0.422225877872479
9104,best_ehr,0.05,589,70,30,18,0.2571428571428571,0.6,5.048571428571429,0.39878547226447697
9104,best_ehr,0.1,589,70,59,20,0.2857142857142857,0.3389830508474576,2.8523002421307506,0.39878547226447697
9104,best_ehr,0.2,589,70,118,38,0.5428571428571428,0.3220338983050847,2.709685230024213,0.39878547226447697
9105,candidate,0.05,577,61,29,20,0.32786885245901637,0.6896551724137931,6.523459581684568,0.47362594977857236
9105,candidate,0.1,577,61,58,27,0.4426229508196721,0.46551724137931033,4.403335217637083,0.47362594977857236
9105,candidate,0.2,577,61,116,34,0.5573770491803278,0.29310344827586204,2.7724703222159413,0.47362594977857236
9105,original_lightgbm,0.05,577,61,29,20,0.32786885245901637,0.6896551724137931,6.523459581684568,0.4448257543604592
9105,original_lightgbm,0.1,577,61,58,27,0.4426229508196721,0.46551724137931033,4.403335217637083,0.4448257543604592
9105,original_lightgbm,0.2,577,61,116,33,0.5409836065573771,0.28448275862068967,2.690927077444884,0.4448257543604592
9105,original_logistic,0.05,577,61,29,21,0.3442622950819672,0.7241379310344828,6.8496325607687965,0.4658947793000689
9105,original_logistic,0.1,577,61,58,23,0.3770491803278688,0.39655172413793105,3.7509892594686267,0.4658947793000689
9105,original_logistic,0.2,577,61,116,33,0.5409836065573771,0.28448275862068967,2.690927077444884,0.4658947793000689
9105,previous_neural,0.05,577,61,29,20,0.32786885245901637,0.6896551724137931,6.523459581684568,0.4960496147856825
9105,previous_neural,0.1,577,61,58,27,0.4426229508196721,0.46551724137931033,4.403335217637083,0.4960496147856825
9105,previous_neural,0.2,577,61,116,36,0.5901639344262295,0.3103448275862069,2.9355568117580555,0.4960496147856825
9105,tuned_classical,0.05,577,61,29,19,0.3114754098360656,0.6551724137931034,6.1972866026003395,0.5014063666378195
9105,tuned_classical,0.1,577,61,58,27,0.4426229508196721,0.46551724137931033,4.403335217637083,0.5014063666378195
9105,tuned_classical,0.2,577,61,116,37,0.6065573770491803,0.31896551724137934,3.017100056529113,0.5014063666378195
9105,best_ehr,0.05,577,61,29,20,0.32786885245901637,0.6896551724137931,6.523459581684568,0.5082935911848597
9105,best_ehr,0.1,577,61,58,28,0.45901639344262296,0.4827586206896552,4.566421707179198,0.5082935911848597
9105,best_ehr,0.2,577,61,116,35,0.5737704918032787,0.3017241379310345,2.8540135669869984,0.5082935911848597
