seed,name,family,history,latest_only,seconds,origin,patients,positives,selected,captured,recall,precision,lift,ap
42,lr_history_latest_0.01,logistic_regression,True,True,1.832903400001669,new fit,348,30,35,15,0.5,0.42857142857142855,4.971428571428571,0.4824484673817738
42,lr_history_latest_0.1,logistic_regression,True,True,1.7325657000001229,new fit,348,30,35,14,0.4666666666666667,0.4,4.64,0.4696271668761795
42,lambda_True,lambdarank,True,True,2.933182900000247,new fit,348,30,35,14,0.4666666666666667,0.4,4.64,0.43829965550520755
42,rank_mlp_True_0.0,rank_mlp,True,True,2.5176979999996547,new fit,348,30,35,15,0.5,0.42857142857142855,4.971428571428571,0.4956081734705748
42,rank_mlp_True_1.0,rank_mlp,True,True,2.4794038,new fit,348,30,35,15,0.5,0.42857142857142855,4.971428571428571,0.4539339573990839
42,tabm_history_False,tabm,True,False,44.850316200001544,new fit,348,30,35,12,0.4,0.34285714285714286,3.977142857142857,0.4297590164550828
42,realmlp_history_False,realmlp,True,False,58.68584000000192,new fit,348,30,35,13,0.43333333333333335,0.37142857142857144,4.308571428571429,0.42751226067716314
42,tabm_history_True,tabm,True,True,20.539922199997818,new fit,348,30,35,14,0.4666666666666667,0.4,4.64,0.46028233108625655
42,realmlp_history_True,realmlp,True,True,22.951963600000454,new fit,348,30,35,14,0.4666666666666667,0.4,4.64,0.44643859061733643
42,ehr_hybridFalse_pre0,ehr_transformer,False,True,86.70229589999872,new fit,348,30,35,14,0.4666666666666667,0.4,4.64,0.31008206099650004
42,ehr_hybridFalse_pre5,ehr_transformer,False,True,109.34244640000179,new fit,348,30,35,13,0.43333333333333335,0.37142857142857144,4.308571428571429,0.3613428158009208
42,ehr_hybridTrue_pre0,ehr_transformer,True,True,64.75804049999715,new fit,348,30,35,15,0.5,0.42857142857142855,4.971428571428571,0.4805150577361246
42,ehr_hybridTrue_pre5,ehr_transformer,True,True,75.45607949999976,new fit,348,30,35,15,0.5,0.42857142857142855,4.971428571428571,0.46639636150608443
42,retain_hybrid,retain,True,True,63.27660420000029,new fit,348,30,35,15,0.5,0.42857142857142855,4.971428571428571,0.47173111486782454
43,lightgbm_reference,lightgbm,False,False,0.424146400000609,reused exact prior development predictions,344,37,35,14,0.3783783783783784,0.4,3.718918918918919,0.4528206058831583
43,logistic_reference,logistic_regression,False,False,0.2280122999982268,reused exact prior development predictions,344,37,35,15,0.40540540540540543,0.42857142857142855,3.9845559845559846,0.40318806548482594
43,lightgbm_tuned_0,lightgbm,False,False,0.12207990000024438,reused exact prior development predictions,344,37,35,15,0.40540540540540543,0.42857142857142855,3.9845559845559846,0.3788974032736729
43,lightgbm_tuned_1,lightgbm,False,False,0.1458191000019724,reused exact prior development predictions,344,37,35,14,0.3783783783783784,0.4,3.718918918918919,0.36999656508354517
43,lightgbm_tuned_2,lightgbm,False,False,0.17477270000017597,reused exact prior development predictions,344,37,35,15,0.40540540540540543,0.42857142857142855,3.9845559845559846,0.44230856977720634
43,lightgbm_tuned_3,lightgbm,False,False,0.15395489999718848,reused exact prior development predictions,344,37,35,15,0.40540540540540543,0.42857142857142855,3.9845559845559846,0.36655351971791
43,lightgbm_tuned_4,lightgbm,False,False,0.20071869999810588,reused exact prior development predictions,344,37,35,14,0.3783783783783784,0.4,3.718918918918919,0.4559003761947614
43,lightgbm_tuned_5,lightgbm,False,False,0.19717430000309832,reused exact prior development predictions,344,37,35,14,0.3783783783783784,0.4,3.718918918918919,0.42436569237921234
43,logistic_tuned_0,logistic_regression,False,False,0.16464360000099987,reused exact prior development predictions,344,37,35,16,0.43243243243243246,0.45714285714285713,4.25019305019305,0.4474981227845945
43,logistic_tuned_1,logistic_regression,False,False,0.1934679000005417,reused exact prior development predictions,344,37,35,15,0.40540540540540543,0.42857142857142855,3.9845559845559846,0.4158721683955837
43,logistic_tuned_2,logistic_regression,False,False,0.23803310000221245,reused exact prior development predictions,344,37,35,15,0.40540540540540543,0.42857142857142855,3.9845559845559846,0.39421863183114997
43,logistic_tuned_3,logistic_regression,False,False,0.2662607000020216,reused exact prior development predictions,344,37,35,14,0.3783783783783784,0.4,3.718918918918919,0.39322945214342725
43,tabm_00,tabm,False,False,17.423896700001933,reused exact prior development predictions,344,37,35,15,0.40540540540540543,0.42857142857142855,3.9845559845559846,0.47001195378447624
43,tabm_01,tabm,False,False,12.34356359999947,reused exact prior development predictions,344,37,35,16,0.43243243243243246,0.45714285714285713,4.25019305019305,0.47815209386986446
43,tabm_02,tabm,False,False,13.95291079999879,reused exact prior development predictions,344,37,35,17,0.4594594594594595,0.4857142857142857,4.5158301158301155,0.47368789192540567
43,tabm_03,tabm,False,False,9.947352999999566,reused exact prior development predictions,344,37,35,16,0.43243243243243246,0.45714285714285713,4.25019305019305,0.47330082416474967
